id,city,fold
YjKCSw,ARG,0
AQXHjE,ARG,0
WxYaBW,ARG,0
hznFSU,OMA,0
FwbHua,ARG,0
VDELkQ,JAX,0
UVeRuF,JAX,0
jysnJK,OMA,0
AspHmX,JAX,0
WnjrJX,JAX,0
YJbtve,ATL,0
fVAWDL,ARG,0
bOBoOA,ARG,0
uVZQoS,ARG,0
BFfoEq,JAX,0
LRnFjA,JAX,0
BrPfQp,JAX,0
kCxQjh,ARG,0
iROzJf,ARG,0
gZSOmt,JAX,0
BFyGQK,JAX,0
XiIDcj,ARG,0
mdzQTh,ARG,0
rZZwAg,OMA,0
RZieZo,ARG,0
sJkddD,JAX,0
gOeCSt,ARG,0
luCYdv,ARG,0
fzmVAY,ARG,0
HEZTYZ,OMA,0
GhSwaf,OMA,0
ZhEvfx,OMA,0
wFXcRl,ARG,0
IlKwCP,ARG,0
vDEUkB,ARG,0
uleMde,ATL,0
ReInRY,ARG,0
LMaHmM,ARG,0
ZhUAIr,OMA,0
agPipz,OMA,0
siGijE,ARG,0
BJBZyj,ARG,0
HeBprz,ARG,0
CjYtRg,OMA,0
oFEvWz,OMA,0
esziPr,OMA,0
ziYzen,OMA,0
ZfwYvD,ARG,0
eqMrwc,ARG,0
AWAOjI,ATL,0
yxprvp,OMA,0
gdsYPd,ATL,0
izELxX,OMA,0
rlCbik,ARG,0
OMQtdG,ARG,0
CFpcTQ,ATL,0
eAwwzd,JAX,0
hCpllg,ARG,0
dLhalV,ARG,0
OBsPKj,ARG,0
oYJkqG,OMA,0
bHwjoo,ARG,0
sanTnw,OMA,0
Fmgatr,JAX,0
XAHBnv,OMA,0
rhQYek,OMA,0
ooVVAF,JAX,0
gGNVEn,JAX,0
SmUoPI,OMA,0
jNvtTd,ARG,0
wxPqje,JAX,0
IAoRYa,OMA,0
ApEQKt,ARG,0
DuxYdU,ARG,0
BnVBhc,ARG,0
ZMhlLy,OMA,0
BButdy,ATL,0
GpdRQZ,JAX,0
ibVqqS,ARG,0
ZLMVdk,OMA,0
UkellN,JAX,0
XHiVUl,OMA,0
CBSpfF,ARG,0
BfqqCR,JAX,0
wuXfcr,OMA,0
THcpWf,ATL,0
qGBTMV,OMA,0
WyVLpA,ATL,0
osOxMe,ARG,0
FQyMXZ,JAX,0
GUFrow,OMA,0
LyGnuv,OMA,0
OhYpxf,ARG,0
WwoIRr,JAX,0
XyHmTo,ARG,0
qzvxfk,ATL,0
mrloGs,ARG,0
sJOqeD,ATL,0
vYtVqx,OMA,0
iPpSgc,JAX,0
ZUoWHB,ARG,0
EArSoa,ARG,0
qWbeni,ARG,0
yGUbLQ,OMA,0
FiLGdI,JAX,0
AmVzGg,OMA,0
GfWAsw,ARG,0
LBYJfr,ARG,0
MWDTtI,JAX,0
rRVXFp,ATL,0
UDLYOU,ARG,0
JFPPdZ,JAX,0
hGZaCq,OMA,0
DtfwGk,ATL,0
xdDPEI,OMA,0
FaKSPd,ARG,0
NgbInl,ARG,0
ysEWgU,JAX,0
jpFYHx,ARG,0
EVPNqT,ARG,0
wqpZLL,ARG,0
wGVEdc,OMA,0
cDahmI,ATL,0
OjNbQE,JAX,0
kGTNFZ,OMA,0
KWKCvx,ARG,0
fSatag,JAX,0
ehkkGg,JAX,0
IELmYN,JAX,0
bbxcBP,ARG,0
UmHgUS,JAX,0
prFjSe,JAX,0
nfIKbL,ARG,0
lGqXcj,ARG,0
mMnnBc,JAX,0
bgzqMh,ARG,0
RjsKaP,ATL,0
aoVIQq,ARG,0
mDVQGw,ARG,0
yiWlof,ATL,0
fyAqin,ARG,0
NmxaVH,OMA,0
kmmDvh,JAX,0
tTteLN,OMA,0
BELWcm,ARG,0
TzLFej,JAX,0
OtOXxi,OMA,0
PoWiXb,ATL,0
ZlLLUL,JAX,0
PovtWa,OMA,0
oIXxaz,OMA,0
TtvDfV,OMA,0
YtcxDv,JAX,0
nChcWL,OMA,0
EpxUcg,ATL,0
yIDSzY,ATL,0
kCyRTa,JAX,0
LXsRBf,OMA,0
qbwoeM,ARG,0
ubaBVf,ATL,0
eVsfRF,JAX,0
EywqfD,JAX,0
RRjsbg,ARG,0
sOBYQt,ARG,0
DJzAtP,OMA,0
BYvrgP,OMA,0
GYbqrn,OMA,0
BUWvQd,OMA,0
rYlgZI,ARG,0
bCxxaJ,ARG,0
ggztRA,OMA,0
OqsZfk,ARG,0
XJMufd,OMA,0
LauHTe,ARG,0
JSRhFk,JAX,0
HyWCit,ARG,0
VBJNWB,ATL,0
JUITVB,ARG,0
yDomAG,JAX,0
jaUWWS,ARG,0
MxwwPr,OMA,0
uMfber,ATL,0
LRPoYD,OMA,0
ybBQYb,ARG,0
EpKiOq,ARG,0
GCBthD,ATL,0
mbeLBr,ARG,0
KZlgkN,OMA,0
vmVnfZ,OMA,0
DUTHeV,ARG,0
kFvopo,OMA,0
DWRWPL,ATL,0
sMfYop,OMA,0
bpDYgp,ATL,0
tOasgB,ARG,0
QhUJFs,OMA,0
ZFljrE,ARG,0
dbnNPr,ARG,0
JUGTcG,ARG,0
KnDADd,ARG,0
ISTLIG,OMA,0
HsEjwL,OMA,0
YMcpTN,OMA,0
hfJcky,ATL,0
lCUvzm,OMA,0
XjoMQH,OMA,0
PjEuFS,JAX,0
zIVfQY,ARG,0
WCqobM,OMA,0
rPyGNN,OMA,0
xwcKsP,ATL,0
NZuIfu,JAX,0
esdPGt,ATL,0
ZzTMCL,JAX,0
saSmYL,OMA,0
lfZmcI,OMA,0
YUwVUw,ARG,0
YzPbVY,OMA,0
tYYGjJ,ARG,0
GMDdjq,JAX,0
musPzZ,JAX,0
BrGBXI,ARG,0
dvwuTI,ATL,0
dDolKn,ARG,0
nGAMCP,OMA,0
LzkEVL,JAX,0
LDxBzN,OMA,0
sLnimJ,ARG,0
fwErXy,ARG,0
GCdEqY,OMA,0
fplUwy,ARG,0
fJwRUY,JAX,0
NyhrYF,ATL,0
DLrMfw,OMA,0
VqqsYK,ARG,0
tOplsT,ARG,0
ATEcNt,JAX,0
crzSXF,JAX,0
vQbDMn,ARG,0
mJMbDr,JAX,0
lLSSUn,JAX,0
XlPyZZ,JAX,0
BEJXnb,OMA,0
OSXlpn,ARG,0
EEzLot,JAX,0
bbipVx,OMA,0
lugREO,ATL,0
GksNnT,ARG,0
NbqKuf,ATL,0
bwNCFK,ARG,0
kCppJL,ARG,0
LoRUMx,OMA,0
LebPVJ,JAX,0
foeXXd,ATL,0
TyKluc,ARG,0
pToFoK,ARG,0
MGzTPL,OMA,0
UIbrya,OMA,0
uXCRiy,ATL,0
qzmROL,OMA,0
rfuUdH,JAX,0
pLNkqR,OMA,0
kIMgwi,ARG,0
npbKAZ,OMA,0
MPeMxe,ATL,0
pFCVSv,OMA,0
bPtFqL,OMA,0
tFkqGl,ARG,0
aIyohF,JAX,0
VsgaKL,ATL,0
UmQFET,OMA,0
OBqAIS,ARG,0
eBEwlz,ARG,0
hnMEYr,OMA,0
ADVNHm,ATL,0
nmEOJm,ARG,0
NqIgyJ,ARG,0
DRnFRs,ARG,0
uHKMzV,OMA,0
yEIgMq,ATL,0
hNEemn,JAX,0
OgRtAI,OMA,0
yqrzNd,ARG,0
gBjZol,ARG,0
TZMwYJ,OMA,0
AMBkuU,OMA,0
OZAaaE,JAX,0
XOlDoR,JAX,0
hiPpJL,JAX,0
DDBCaF,OMA,0
GUqMKx,ARG,0
niHGil,OMA,0
UBPQTm,OMA,0
VkTegJ,JAX,0
aBEapo,ARG,0
xukmby,ATL,0
GxftOX,ATL,0
ubgGOy,JAX,0
FsbrMF,JAX,0
FEFQWf,OMA,0
iMWsQS,ARG,0
JbLHGP,ARG,0
quXpbO,OMA,0
VHgmnc,ARG,0
rMIlFa,ATL,0
hfvXJI,JAX,0
bLEfHX,OMA,0
qaVqeS,ARG,0
qBiJXi,JAX,0
YNyvNi,ARG,0
IwFpbs,ATL,0
TIgtTl,JAX,0
VElnKd,OMA,0
wmQFeg,ARG,0
NQgdNa,JAX,0
AmKJxl,OMA,0
sBjHYw,ARG,0
jshTtV,ARG,0
jQjJBD,ARG,0
JETYKN,ARG,0
gVUAyh,JAX,0
WZaAyR,ATL,0
dMydHo,JAX,0
lFSols,ARG,0
dcEcCr,ARG,0
LVIyWE,ARG,0
oQFVih,ARG,0
aEMYIg,OMA,0
xtNZRe,OMA,0
lCjzUy,ARG,0
VZbisy,ARG,0
HJqrIr,ARG,0
xSbnDt,ARG,0
YsYIFK,OMA,0
WVHqfB,ARG,0
vlpKaS,ATL,0
BvvRlS,ARG,0
dPMEdW,OMA,0
aruMoE,ARG,0
AeWCDf,ARG,0
OpquST,ATL,0
ZJoGoP,OMA,0
VbeFlo,ARG,0
tUujCx,ATL,0
VWIHXy,JAX,0
qRhSYC,OMA,0
rpsfbY,ARG,0
VkwtJi,ARG,0
VwmaNg,ARG,0
zHNVTA,ATL,0
grZYmS,ARG,0
SLSsXt,OMA,0
omHcmT,ARG,0
VNmGqI,ARG,0
DpdsUx,OMA,0
ppajYW,OMA,0
yrjVHQ,ARG,0
XxbMKX,ATL,0
RZyDPQ,ATL,0
frrGQf,ARG,0
FSmIfl,ARG,0
ZWEAQq,OMA,0
yuEGTW,OMA,0
cIQQyw,ARG,0
WPdYIw,ARG,0
KVSjTW,JAX,0
BXaJNn,ARG,0
bhrvPm,OMA,0
icFRyA,ARG,0
cnRhZl,OMA,0
QyGlPG,ARG,0
jfeGpm,ARG,0
vzSnhk,ARG,0
rnJOLm,JAX,0
cLRAAH,JAX,0
wZgoFh,ARG,0
IBatNa,ARG,0
AzcQYx,ATL,0
